Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,pca_x,pca_y,umap_x,umap_y,ae_x,ae_y,vae_x,vae_y,Total_Spend
2,3,12669,9656,7561,214,2674,1338,0.19329054649820243,-0.3050999634513935,7.0843096,6.933166,3.548878,3.8110058,0.8286403,0.7987926,34112
2,3,7057,9810,9568,1762,3293,1776,0.4344198959454972,-0.3284126225401711,6.25288,7.0507803,3.579156,2.9558842,0.838629,0.8147893,33266
2,3,6353,8808,7684,2405,3516,7844,0.8111432343605398,0.8150957011888883,8.588828,6.877347,1.3411989,2.187068,0.8411058,0.7971108,36610
1,3,13265,1196,4221,6404,507,1788,-0.778647831923619,0.652753733909375,13.654358,7.8579283,6.34953,8.099434,0.8144307,0.8149742,27381
2,3,22615,5410,7198,3915,1777,5185,0.16628725888001922,1.271433718314264,9.122227,5.9778523,1.1505622,3.3047976,0.8531556,0.8281962,46100
2,3,9413,8259,5126,666,1795,1451,-0.15616993189775052,-0.2951409880414285,7.2375803,7.069667,4.318091,4.7584386,0.82633483,0.8081123,26710
2,3,12126,3199,6975,480,3140,545,-0.3352884042775968,-0.5250032583063673,7.7899218,7.8830037,11.240977,9.88265,0.80306053,0.7447169,26465
2,3,7579,4956,9426,1669,3321,2566,0.14058643405115298,-0.23099268712632712,6.381755,7.1756835,7.794383,6.313135,0.8109785,0.7820166,29517
1,3,5963,3648,6192,425,1716,750,-0.5173195409242917,-0.659362826613679,7.8739285,8.665724,9.102482,9.680104,0.8217049,0.76911855,18694
2,3,6006,11093,18881,1159,7425,2098,1.5921090819077042,-0.7410113322068796,4.459229,5.7811255,4.8751783,1.1338494,0.8093468,0.8207361,46662
2,3,3366,5403,12974,4400,5977,1744,0.6380859453842896,-0.4018252009827578,5.3857594,7.5791845,6.721555,4.1610007,0.7833646,0.77584237,33864
2,3,13146,1124,4523,1420,549,497,-0.9276925789464372,-0.21928724226791532,10.502686,8.102442,11.04999,13.175783,0.83553964,0.8055998,21259
2,3,31714,12319,11757,287,3881,2931,0.9913621763904926,0.6859108075964484,8.328718,5.896495,2.8648596,6.281319,0.8429585,0.7799568,62889
2,3,21217,6208,14982,3095,6707,602,0.8502467602831545,-0.08569196422573477,7.7626333,6.0677843,7.321678,3.872522,0.76058626,0.6747097,52811
2,3,24653,9465,12091,294,5058,2168,0.845043793526858,0.15472432536931877,8.150336,5.9782367,3.5372021,7.559515,0.83108795,0.7277726,53729
1,3,10253,1114,3821,397,964,412,-0.9515853747804033,-0.495908497946021,10.013827,8.925042,11.380196,12.110238,0.84671223,0.7959714,16961
2,3,1020,8816,12121,134,4508,1080,0.5575587167513228,-1.0261227205417884,5.3932023,6.9299164,4.316184,2.989368,0.87410176,0.8596138,27679
1,3,5876,6157,2933,839,370,4478,-0.3525385979885781,0.20707590990608082,8.739179,7.466668,2.3159125,3.4346113,0.9598665,0.85451186,20653
2,3,18601,6327,10099,2205,2767,3181,0.31657856312201227,0.4420662920478228,8.592712,6.270738,3.5325441,5.903627,0.84452116,0.8019688,43180
1,3,7780,2495,9464,669,2518,501,-0.3237557369900895,-0.7035869463196534,7.5751157,8.240245,7.224818,6.9458785,0.81374896,0.7553104,23427
2,3,17546,4519,4602,1066,2259,2124,-0.32000059737195213,0.15662814687056847,8.519411,6.5583277,4.6848874,7.344968,0.8255621,0.784709,32116
1,3,5567,871,2010,3383,375,569,-1.1184472015759515,-0.23052751899310558,12.073249,9.367422,11.283211,12.019805,0.8217099,0.8089043,12775
1,3,31276,1917,4469,9408,2381,4334,-0.17669454461938955,2.1437169897249833,13.942726,6.7794495,0.0,2.2299514,0.82483923,0.84723544,53785
2,3,26373,36423,22019,5154,4337,16523,4.685654205577527,3.598678382684399,8.758093,5.684962,0.0,0.0,0.92832446,1.0420127,110829
2,3,22647,9776,13792,2915,4482,5778,1.2450420797429518,1.0556596612741738,8.809594,5.937078,1.0563693,2.6093354,0.8549929,0.8238139,59390
2,3,16165,4230,7595,201,4003,57,-0.15411402588073542,-0.5228936248345414,7.831172,7.625724,11.250359,8.663617,0.7679232,0.7187675,32251
1,3,9898,961,2861,3151,242,833,-1.0396235408198575,-0.036479651125875076,11.385992,8.809589,10.088771,10.879372,0.8322567,0.798935,17946
1,3,14276,803,3045,485,100,518,-1.0975271802600233,-0.24298196589573967,10.716694,7.741402,10.605683,13.442079,0.86308074,0.82073694,19227
2,3,4113,20484,25957,1158,8604,5206,3.1220916032889465,-0.3300749217937493,4.0530615,5.1373205,1.1461477,0.0,0.83459234,0.8658336,65522
1,3,43088,2100,2609,1200,1107,823,-0.7799399388366394,1.0731733411860882,10.878621,4.536992,6.109992,13.375869,0.8385191,0.7590317,50927
1,3,18815,3610,11107,1148,2134,2963,0.07458318838806759,0.2665039107629261,8.581625,6.341943,3.6952288,6.1750755,0.881222,0.8180811,39777
1,3,2612,4339,3133,2088,820,985,-0.7291893279631081,-0.44480925579424063,8.198594,9.581549,8.961854,9.872124,0.8202951,0.7962673,13977
1,3,21632,1318,2886,266,918,405,-0.9622304278035116,-0.018989195556772115,10.769216,6.0885572,8.577765,14.884532,0.84023833,0.7924929,27425
1,3,29729,4786,7326,6130,361,1083,-0.34977090329451194,1.1805945291564517,10.772314,5.210015,3.3265977,11.189173,0.79594576,0.80801874,49415
1,3,1502,1979,2262,425,483,395,-1.0690823348451701,-0.8015969195696591,8.6622095,10.803161,11.220867,11.997945,0.85223067,0.7890923,7046
2,3,688,5491,11091,833,4239,436,0.16724767633714105,-1.0743968959242802,5.801428,7.65002,5.9543104,4.3004284,0.83574855,0.8194358,22778
1,3,29955,4362,5428,1729,862,4626,-0.17213677330079022,1.2670063771205442,9.444226,5.8663564,1.7672999,4.117165,0.8937833,0.88229644,46962
2,3,15168,10556,12477,1920,6506,714,0.9726885710283278,-0.3681751789363517,5.15813,5.8505974,3.943177,2.1176112,0.7956759,0.7359021,47341
2,3,4591,15729,16709,33,6956,433,1.5846641704799675,-1.1292469229805422,4.327233,5.5598555,3.3757398,1.1798236,0.9367997,0.86848444,44451
1,3,56159,555,902,10002,212,2916,-0.7793956704253292,3.160419943833687,11.425714,4.427336,0.0,4.4542065,0.9085015,0.8980583,70746
1,3,24025,4332,4757,9510,1145,5864,-0.011398781782537597,2.2164688785695366,13.911548,6.809497,0.0,2.045754,0.79003173,0.82883143,49633
1,3,19176,3065,5956,2033,2575,2802,-0.23289017820356636,0.41382538770913335,8.689575,6.430614,3.8161724,6.434455,0.81170225,0.78959215,35607
2,3,10850,7555,14961,188,6899,46,0.8557236542714345,-0.9796731395308355,5.1958647,6.397946,5.737801,2.6055825,0.81531996,0.76416355,40499
2,3,630,11095,23998,787,9529,72,1.9458622105746584,-1.5666979736395164,3.8236883,5.6127076,6.434811,0.55037,0.86690104,0.86607313,46111
2,3,9670,7027,10471,541,4618,65,0.2813087413228579,-0.7956954109737742,6.009073,7.18377,4.8408184,3.4603386,0.80389005,0.78917444,32392
2,3,5181,22044,21531,1740,7353,4985,2.8134968943919114,-0.09887393332108459,4.176407,5.229156,1.2726767,0.0,0.8417186,0.8411053,62834
2,3,3103,14069,21955,1668,6792,1452,1.865319811895263,-0.893604773714601,4.238234,5.6497507,3.609923,0.45092016,0.8391079,0.8285926,49039
2,3,44466,54259,55571,7782,24171,6465,9.53811612922101,1.5076371010419194,3.1440384,4.5145063,0.0,0.0,0.8764059,0.92613983,192714
2,3,11519,6152,10868,584,5121,1476,0.4300766673640302,-0.5033835312524051,6.3168635,7.0253043,7.5857515,4.9981003,0.80895674,0.772781,35720
2,3,4967,21412,28921,1798,13583,1163,3.5979048535172233,-1.239366405120676,3.2902253,4.912616,4.0005627,0.0,0.8708508,0.8376985,71844
1,3,6269,1095,1980,3860,609,2162,-0.9287053254526904,0.13452395003532616,12.296177,9.297591,5.653187,6.890447,0.8158353,0.77397835,15975
1,3,3347,4051,6996,239,1538,301,-0.5094453715480775,-0.8707883510719299,7.5318427,8.833184,8.5275545,8.985282,0.8313881,0.7911526,16472
2,3,40721,3916,5876,532,2587,1278,-0.25071275534079857,0.8623814102169989,10.830685,4.5687847,5.5073237,11.746578,0.7814086,0.7418865,54910
2,3,491,10473,11532,744,5611,224,0.7002834808423575,-1.1559072168946405,5.034948,6.614817,3.7240174,2.0269158,0.87556237,0.8652784,29075
1,3,27329,1449,1947,2436,204,1333,-0.9679267978278155,0.7129368678640357,10.917736,5.562869,4.7566986,10.978007,0.85422313,0.80282056,34698
1,3,5264,3683,5005,1057,2024,1130,-0.5138382981045402,-0.5387312359733734,8.210644,8.85362,8.389539,9.243602,0.81501466,0.7706494,18163
2,3,4098,29892,26866,2616,17740,1340,4.599755905903984,-1.2363758983067659,3.205183,4.6975484,4.4414043,0.0,1.0097857,0.89320093,82552
2,3,5417,9933,10487,38,7572,1282,0.9251660720874925,-0.9447766607259448,4.910411,6.768771,4.511366,2.2036948,0.8219174,0.817835,34729
1,3,13779,1970,1648,596,227,436,-1.0896075285634972,-0.2365773733763909,10.627214,7.791785,10.981422,13.542417,0.8593972,0.82794404,18656
1,3,6137,5360,8040,129,3084,1603,-0.04758853208031265,-0.6191651922444901,6.3878665,7.4260616,9.057486,7.7162395,0.83869064,0.7985672,24353
2,3,8590,3045,7854,96,4095,225,-0.22732589920797014,-0.8449040817853907,7.571139,8.126963,11.437397,8.695029,0.80237967,0.75576615,23905
2,3,35942,38369,59598,3254,26701,2017,8.43092530729674,-0.5923692911126331,3.142512,4.6281557,3.4971695,0.0,0.9345323,0.79509693,165881
2,3,7823,6245,6544,4154,4074,964,0.032410657933517786,-0.17574736360292767,5.945632,7.952786,11.558436,8.889452,0.780898,0.76232815,29804
2,3,9396,11601,15775,2896,7677,1295,1.4281181829897092,-0.4840837527566895,4.7456846,5.749659,4.164182,1.571766,0.79481876,0.7679913,48640
1,3,4760,1227,3250,3724,1247,1145,-0.8642872859634074,-0.17996637426384254,12.359782,9.313032,9.203113,9.969537,0.7912654,0.781928,15353
2,3,85,20959,45828,36,24231,1423,5.810579391251113,-2.4549317201534993,3.054147,4.6819415,4.1495976,0.0,0.9302731,0.98901933,92562
1,3,9,1534,7417,175,3468,27,-0.4837299209851174,-1.20570517384716,6.769001,8.492825,10.402294,8.537769,0.85807824,0.80717677,12630
2,3,19913,6759,13462,1256,5141,834,0.614470849708418,-0.21694580418624615,7.887932,6.1272197,6.61087,4.3760877,0.7823075,0.6936624,47365
1,3,2446,7260,3993,5870,788,3095,-0.23876815072086838,0.42411686926427933,12.928915,9.074556,4.463707,5.308579,0.7922045,0.7748187,23452
